window removeEventListener 0 1541968023592
jQuery ready 0 1541968023595
jQuery removeData 0.9490121960048321 1541968042184
jQuery noop 0.9490121960048321 1541968042185
jQuery unique 0.9490121960048321 1541968042186
jQuery makeArray 0.9490121960048321 1541968042186
jQuery when 0.9490121960048321 1541968042187
jQuery Deferred 0.9490121960048321 1541968042187
jQuery Callbacks 0.9490121960048321 1541968042187
jQuery each 0.9490121960048321 1541968042187
jQuery Callbacks 0.9490121960048321 1541968042188
jQuery each 0.9490121960048321 1541968042188
jQuery Callbacks 0.9490121960048321 1541968042188
jQuery each 0.9490121960048321 1541968042189
jQuery Callbacks 0.9490121960048321 1541968042189
jQuery each 0.9490121960048321 1541968042189
jQuery Callbacks 0.9490121960048321 1541968042190
jQuery each 0.9490121960048321 1541968042190
jQuery Callbacks 0.9490121960048321 1541968042191
jQuery each 0.9490121960048321 1541968042191
jQuery each 0.9490121960048321 1541968042191
jQuery each 0.9490121960048321 1541968042192
jQuery each 0.9490121960048321 1541968042192
jQuery each 0.9490121960048321 1541968042192
jQuery each 0.9490121960048321 1541968042193
jQuery each 0.9490121960048321 1541968042193
jQuery extend 0.9490121960048321 1541968042193
jQuery each 0.9490121960048321 1541968042194
jQuery hasData 0.9490121960048321 1541968042195
jQuery filter 0.9490121960048321 1541968042195
jQuery removeData 0.8676132756865216 1541968042196
jQuery makeArray 0.8676132756865216 1541968042196
jQuery hasData 0.8676132756865216 1541968042196
jQuery filter 0.8676132756865216 1541968042196
jQuery when 0.8676132756865216 1541968042196
jQuery Deferred 0.8676132756865216 1541968042197
jQuery Callbacks 0.8676132756865216 1541968042198
jQuery each 0.8676132756865216 1541968042198
jQuery Callbacks 0.8676132756865216 1541968042198
jQuery each 0.8676132756865216 1541968042198
jQuery Callbacks 0.8676132756865216 1541968042198
jQuery each 0.8676132756865216 1541968042199
jQuery Callbacks 0.8676132756865216 1541968042199
jQuery each 0.8676132756865216 1541968042200
jQuery Callbacks 0.8676132756865216 1541968042200
jQuery each 0.8676132756865216 1541968042200
jQuery Callbacks 0.8676132756865216 1541968042200
jQuery each 0.8676132756865216 1541968042201
jQuery each 0.8676132756865216 1541968042201
jQuery each 0.8676132756865216 1541968042202
jQuery each 0.8676132756865216 1541968042202
jQuery each 0.8676132756865216 1541968042203
jQuery each 0.8676132756865216 1541968042203
jQuery each 0.8676132756865216 1541968042203
jQuery extend 0.8676132756865216 1541968042204
jQuery each 0.8676132756865216 1541968042204
jQuery noop 0.8676132756865216 1541968042205
jQuery unique 0.8676132756865216 1541968042205
jQuery removeData 0.7775745368637008 1541968042206
jQuery unique 0.7775745368637008 1541968042206
jQuery hasData 0.7775745368637008 1541968042207
jQuery makeArray 0.7775745368637008 1541968042208
jQuery noop 0.7775745368637008 1541968042208
jQuery filter 0.7775745368637008 1541968042208
jQuery when 0.7775745368637008 1541968042208
jQuery Deferred 0.7775745368637008 1541968042208
jQuery Callbacks 0.7775745368637008 1541968042209
jQuery each 0.7775745368637008 1541968042210
jQuery Callbacks 0.7775745368637008 1541968042210
jQuery each 0.7775745368637008 1541968042211
jQuery Callbacks 0.7775745368637008 1541968042212
jQuery each 0.7775745368637008 1541968042212
jQuery Callbacks 0.7775745368637008 1541968042213
jQuery each 0.7775745368637008 1541968042213
jQuery Callbacks 0.7775745368637008 1541968042213
jQuery each 0.7775745368637008 1541968042214
jQuery Callbacks 0.7775745368637008 1541968042214
jQuery each 0.7775745368637008 1541968042214
jQuery each 0.7775745368637008 1541968042215
jQuery each 0.7775745368637008 1541968042215
jQuery each 0.7775745368637008 1541968042216
jQuery each 0.7775745368637008 1541968042216
jQuery each 0.7775745368637008 1541968042217
jQuery each 0.7775745368637008 1541968042217
jQuery extend 0.7775745368637008 1541968042217
jQuery each 0.7775745368637008 1541968042217
jQuery when 0.015412683020635587 1541968042217
jQuery Deferred 0.015412683020635587 1541968042217
jQuery Callbacks 0.015412683020635587 1541968042218
jQuery each 0.015412683020635587 1541968042218
jQuery Callbacks 0.015412683020635587 1541968042219
jQuery each 0.015412683020635587 1541968042219
jQuery Callbacks 0.015412683020635587 1541968042219
jQuery each 0.015412683020635587 1541968042220
jQuery Callbacks 0.015412683020635587 1541968042220
jQuery each 0.015412683020635587 1541968042221
jQuery Callbacks 0.015412683020635587 1541968042221
jQuery each 0.015412683020635587 1541968042221
jQuery Callbacks 0.015412683020635587 1541968042221
jQuery each 0.015412683020635587 1541968042221
jQuery each 0.015412683020635587 1541968042222
jQuery each 0.015412683020635587 1541968042222
jQuery each 0.015412683020635587 1541968042222
jQuery each 0.015412683020635587 1541968042222
jQuery each 0.015412683020635587 1541968042223
jQuery each 0.015412683020635587 1541968042223
jQuery extend 0.015412683020635587 1541968042223
jQuery each 0.015412683020635587 1541968042224
jQuery removeData 0.015412683020635587 1541968042225
jQuery makeArray 0.015412683020635587 1541968042225
jQuery unique 0.015412683020635587 1541968042225
jQuery filter 0.015412683020635587 1541968042227
jQuery hasData 0.015412683020635587 1541968042228
jQuery noop 0.015412683020635587 1541968042228
jQuery when 0.6651369994054579 1541968042229
jQuery Deferred 0.6651369994054579 1541968042229
jQuery Callbacks 0.6651369994054579 1541968042229
jQuery each 0.6651369994054579 1541968042230
jQuery Callbacks 0.6651369994054579 1541968042230
jQuery each 0.6651369994054579 1541968042230
jQuery Callbacks 0.6651369994054579 1541968042231
jQuery each 0.6651369994054579 1541968042231
jQuery Callbacks 0.6651369994054579 1541968042231
jQuery each 0.6651369994054579 1541968042231
jQuery Callbacks 0.6651369994054579 1541968042232
jQuery each 0.6651369994054579 1541968042233
jQuery Callbacks 0.6651369994054579 1541968042233
jQuery each 0.6651369994054579 1541968042233
jQuery each 0.6651369994054579 1541968042233
jQuery each 0.6651369994054579 1541968042233
jQuery each 0.6651369994054579 1541968042234
jQuery each 0.6651369994054579 1541968042234
jQuery each 0.6651369994054579 1541968042235
jQuery each 0.6651369994054579 1541968042235
jQuery extend 0.6651369994054579 1541968042235
jQuery each 0.6651369994054579 1541968042236
jQuery noop 0.6651369994054579 1541968042237
jQuery filter 0.6651369994054579 1541968042237
jQuery hasData 0.6651369994054579 1541968042237
jQuery removeData 0.6651369994054579 1541968042237
jQuery unique 0.6651369994054579 1541968042237
jQuery makeArray 0.6651369994054579 1541968042237
jQuery when 0.4635217269803116 1541968042238
jQuery Deferred 0.4635217269803116 1541968042238
jQuery Callbacks 0.4635217269803116 1541968042238
jQuery each 0.4635217269803116 1541968042239
jQuery Callbacks 0.4635217269803116 1541968042239
jQuery each 0.4635217269803116 1541968042239
jQuery Callbacks 0.4635217269803116 1541968042240
jQuery each 0.4635217269803116 1541968042240
jQuery Callbacks 0.4635217269803116 1541968042240
jQuery each 0.4635217269803116 1541968042241
jQuery Callbacks 0.4635217269803116 1541968042241
jQuery each 0.4635217269803116 1541968042241
jQuery Callbacks 0.4635217269803116 1541968042241
jQuery each 0.4635217269803116 1541968042241
jQuery each 0.4635217269803116 1541968042241
jQuery each 0.4635217269803116 1541968042242
jQuery each 0.4635217269803116 1541968042243
jQuery each 0.4635217269803116 1541968042243
jQuery each 0.4635217269803116 1541968042243
jQuery each 0.4635217269803116 1541968042243
jQuery extend 0.4635217269803116 1541968042243
jQuery each 0.4635217269803116 1541968042244
jQuery removeData 0.4635217269803116 1541968042244
jQuery hasData 0.4635217269803116 1541968042244
jQuery noop 0.4635217269803116 1541968042245
jQuery filter 0.4635217269803116 1541968042245
jQuery makeArray 0.4635217269803116 1541968042245
jQuery unique 0.4635217269803116 1541968042245
jQuery unique 0.22994353942322587 1541968042245
